Time,storPfo,rlsFloodPfo,rlsCompPfo,rlsSpillPfo,qForksPfo,qHopPfo,qClovPfo,qHldsPfo
04-Nov-1991,74580.3392942223,0,173.813184781,0,175.663673281,170,175.401289445,171.41275398
05-Nov-1991,74476.3697359204,0,173.873219581,0,175.663673281,170,175.461289445,171.47275398
06-Nov-1991,74376.5502790915,0,173.813184781,0,175.663673281,170,175.571289445,171.58275398
07-Nov-1991,74276.8743819339,0,173.707240781,0,175.663673281,170,175.451289445,171.46275398
08-Nov-1991,74179.3465264558,0,173.601296781,0,175.663673281,170,175.031289445,171.04275398
09-Nov-1991,74079.9869423599,0,173.015073281,0,175.663673281,170,174.641289445,170.65275398
10-Nov-1991,73980.5772180981,0,173.392940281,0,175.663673281,170,175.561289445,171.57275398
11-Nov-1991,73887.7535891908,0,173.495352581,0,175.663673281,170,175.551289445,171.56275398
12-Nov-1991,73783.4818647364,0,173.389408681,0,175.663673281,170,175.561289445,171.57275398
13-Nov-1991,73668.0623373005,0,172.930319281,0,175.310527781,170,175.741289445,171.75275398
14-Nov-1991,73543.0161776789,0,171.673115781,0,174.304058581,170,175.841289445,171.85275398
15-Nov-1991,73408.2356814074,0,170.737277281,0,173.364688381,170,176.281289445,172.29275398
16-Nov-1991,73167.637228091,0,169.889725281,0,172.559514081,170,176.451289445,173.16904598
17-Nov-1991,73029.2838050265,0,170.236092836,0,175.992383836,170.328710555,178.39,174.401464535
18-Nov-1991,73167.3364095332,0,148.592249,0,170,185.150795719,184.822085164,180.833549699
19-Nov-1991,72967.38384356,0,165.818743,0,170,233.542479719,327.313769164,392.722103699
20-Nov-1991,72777.4348126479,0,172.400882136,0,175.992383836,170.328710555,214.32,301.411520535
21-Nov-1991,72754.8867778042,0,155.570427,0,170,200.170133719,199.841423164,195.852887699
22-Nov-1991,72519.2039416351,0,167.457344,0,170,182.837680719,272.618970164,332.094420699
23-Nov-1991,72278.0941554197,0,169.706088281,0,172.118080081,170,194.271289445,243.13115698
24-Nov-1991,72035.9827182828,0,170.161647281,0,172.457100581,170,188.801289445,210.30640998
25-Nov-1991,71793.752201475,0,170.172243281,0,172.467696581,170,188.191289445,207.24556898
26-Nov-1991,71551.5006717743,0,170.105145281,0,172.457102081,170,187.781289445,206.01627198
27-Nov-1991,71326.1241665555,0,172.577171481,0,175.663673281,170,186.121289445,203.19088798
28-Nov-1991,71099.1630503702,0,166.9841275,0,170,179.027226219,191.988515664,200.158820199
29-Nov-1991,70857.690064687,0,169.582487881,0,171.877941181,170,193.301289445,218.21074698
30-Nov-1991,70614.3068740186,0,170.479479681,0,172.764338681,170,187.221289445,205.47393098
01-Dec-1991,70376.1317484097,0,169.94280499,0,171.96633549,170,186.546523931,202.738710263
02-Dec-1991,70137.631061047,0,170.05934409,0,172.07228009,170,186.316523931,202.010769263
03-Dec-1991,69898.9871892102,0,170.06287649,0,172.07581249,170,186.066523931,201.273434263
04-Dec-1991,69660.2489073579,0,170.06287609,0,172.07581209,170,185.746523931,200.677979263
05-Dec-1991,69421.4302247465,0,170.06640649,0,172.07934249,170,185.586523931,200.027102263
06-Dec-1991,69176.6009401712,0,173.024432727,0,175.037368727,172.965089737,188.381613668,202.666808
07-Dec-1991,69045.1418330887,0,166.84570949,0,174.89039049,170,170.516523931,179.847072263
08-Dec-1991,68825.3911381269,0,167.3937776,0,170,211.55546111,232.501985041,229.020371373
09-Dec-1991,68589.876881827,0,168.2342666,0,170,170.03600511,202.222529041,252.048402373
10-Dec-1991,68350.0671863944,0,170.29595209,0,172.06168549,170,186.896523931,209.307623263
11-Dec-1991,68109.4912650697,0,170.64203619,0,172.40776959,170,186.166523931,202.980246263
12-Dec-1991,67868.7162046103,0,170.69500779,0,172.46074119,170,185.766523931,202.237699263
13-Dec-1991,67627.7910344383,0,170.70560309,0,172.47133649,170,185.706523931,201.753921263
14-Dec-1991,67386.8000972259,0,170.70207049,0,172.46780389,170,185.486523931,201.269059263
15-Dec-1991,67145.722280656,0,170.70913409,0,172.47486749,170,185.386523931,201.144340263
16-Dec-1991,66904.5509325173,0,170.68441399,0,172.45014739,170,185.326523931,200.921893263
17-Dec-1991,66663.2580342969,0,170.70560309,0,172.47133649,170,185.196523931,200.784830263
18-Dec-1991,66549.6431424207,0,167.794849559,0,175.203866559,170.313476069,182.2,189.768343332
19-Dec-1991,66430.9280523846,0,161.997696,0,170,225.26107551,224.947599441,221.465985773
20-Dec-1991,66201.4589436514,0,168.1636373,0,170,179.77225881,245.388782741,307.818459073
